var,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
Z[336],0.083666667,0.276933421,0,0,0,0,1,1.000639988,3000
Z[337],0.099,0.298711806,0,0,0,0,1,1.001450041,2900
Z[338],0.055,0.228018269,0,0,0,0,1,1.005075147,1700
Z[339],0.019333333,0.137716657,0,0,0,0,0,1.013302831,1900
Z[34],1,0,1,1,1,1,1,1,1
Z[340],0.001666667,0.040797594,0,0,0,0,0,1.189187123,1200
Z[341],0.057666667,0.2331509,0,0,0,0,1,1.00816861,1100
Z[342],0.042666667,0.202138176,0,0,0,0,1,1.003894456,2800
Z[343],0.008,0.089099081,0,0,0,0,0,1.009922048,3000
Z[344],1,0,1,1,1,1,1,1,1
Z[345],0.044333333,0.20586893,0,0,0,0,1,1.000660569,3000
Z[346],0.004,0.063129458,0,0,0,0,0,1.009836163,3000
Z[347],0.093666667,0.291412988,0,0,0,0,1,1.005117779,1000
Z[348],0.068666667,0.252928606,0,0,0,0,1,1.000522214,3000
Z[349],1,0,1,1,1,1,1,1,1
Z[35],0.404,0.490779266,0,0,0,1,1,1.000641934,3000
Z[350],0.166333333,0.372441664,0,0,0,0,1,1.002006384,1400
Z[351],0.009666667,0.097859156,0,0,0,0,0,1.007293921,3000
Z[352],0.193666667,0.395236587,0,0,0,0,1,1.002332966,1100
Z[353],0.086333333,0.280902458,0,0,0,0,1,1.000788239,3000
Z[354],1,0,1,1,1,1,1,1,1
Z[355],0.117666667,0.322266723,0,0,0,0,1,1.000564267,3000
Z[356],1,0,1,1,1,1,1,1,1
Z[357],0.103333333,0.304444496,0,0,0,0,1,1.000622663,3000
Z[358],0.092666667,0.290013088,0,0,0,0,1,1.003754026,1400
Z[359],0.081,0.272880599,0,0,0,0,1,1.000605408,3000
Z[36],1,0,1,1,1,1,1,1,1
Z[360],0.077666667,0.267690944,0,0,0,0,1,1.000687222,3000
Z[361],0.024666667,0.155132989,0,0,0,0,0,1.002178424,3000
Z[362],0.021,0.143408003,0,0,0,0,0,1.014540228,1600
Z[363],0.001333333,0.036496569,0,0,0,0,0,1.105329934,3000
Z[364],0.017333333,0.130531867,0,0,0,0,0,1.021907388,1300
Z[365],0,0,0,0,0,0,0,1,1
Z[366],0.163666667,0.370034499,0,0,0,0,1,1.002079829,1400
Z[367],0.037333333,0.189608912,0,0,0,0,1,1.005949894,2100
